sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
597000,575000,4,4,206,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
720000,695000,4,2,140,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
300000,300000,3,1,85,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
285500,295000,3,1,NA,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
230000,230000,1,1,61,Apartment,dub_inner_ring,0,0,0,1,0,0,0,1,0,0,0
177000,187500,3,4,125,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
170000,175000,2,3,70,Terrace,dub_inner_ring,0,0,1,0,0,0,0,1,0,0,0
565000,549000,4,3,152,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
285000,290000,4,1,77,Apartment,galway,0,0,0,1,0,0,1,0,0,0,0
361000,295000,3,2,88,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
300000,275000,3,2,93,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
250000,249000,2,2,NA,Terrace,dub_inner_ring,0,0,1,0,0,0,0,1,0,0,0
520000,525000,5,2,113,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
325000,260000,2,1,82,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
265000,270000,2,1,72,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
260000,269500,4,3,155,Detached,galway,1,0,0,0,0,0,1,0,0,0,0
180000,209000,2,1,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
500000,495000,3,2,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
392000,349000,3,2,106,Detached,other,1,0,0,0,0,0,0,0,0,0,1
380000,395000,3,1,106,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
370000,375000,3,3,98,Terrace,galway,0,0,1,0,0,0,1,0,0,0,0
311000,325000,2,2,70,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
750000,750000,3,1,100,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
430000,420000,5,5,145,Detached,other,1,0,0,0,0,0,0,0,0,0,1
395000,395000,3,3,95,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
370000,345000,3,3,122,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
245000,240000,3,1,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
400000,435000,2,1,70,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
380000,325000,3,3,82,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
370000,390000,5,3,200,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
199000,225000,3,3,89,Terrace,dub_outer_ring,0,0,1,0,0,0,0,0,1,0,0
189000,195000,3,1,63,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
930000,875000,5,5,151,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
710000,750000,5,4,240,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
550000,595000,5,2,NA,Detached,galway,1,0,0,0,0,0,1,0,0,0,0
547000,545000,3,1,92,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
406000,365000,3,3,97,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
476000,430000,3,3,110,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
335000,335000,4,3,132,Detached,other,1,0,0,0,0,0,0,0,0,0,1
225000,255000,3,1,86,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
442000,275000,2,2,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
375000,325000,2,1,55,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
375000,395000,5,4,NA,Detached,other,1,0,0,0,0,0,0,0,0,0,1
285000,275000,3,2,115,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
280000,325000,4,3,144,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
218000,240000,3,2,111,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
210000,220000,2,1,66,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
182500,185000,1,1,48,Apartment,dub_inner_ring,0,0,0,1,0,0,0,1,0,0,0
180000,170000,3,1,NA,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
160000,155000,2,1,82,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
503000,495000,2,1,63,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
480000,395000,3,2,102,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
399000,350000,2,2,75,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
350000,335000,2,2,NA,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
285000,285000,4,3,160,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
280000,295000,3,3,NA,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
245000,250000,2,1,60,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
240000,245000,3,3,95,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
580000,595000,2,2,81,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
240000,259000,4,3,150,Detached,other,1,0,0,0,0,0,0,0,0,0,1
235000,235000,3,1,NA,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
156000,155000,2,1,79,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
155000,139000,3,2,105,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
780000,749000,5,5,197,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
340000,365000,4,2,104,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
160000,160000,2,1,56,Apartment,dub_outer_ring,0,0,0,1,0,0,0,0,1,0,0
145000,180000,3,2,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
110000,119000,3,3,NA,Apartment,other,0,0,0,1,0,0,0,0,0,0,1
516000,495000,4,3,254,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
